username,content,like_count,retweet_count,location,year,tweets,location_cleaned,tokens,tokens_cleaned,polarity_score
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sStT5",1,0,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
PaulDamalie,Companies I learn from @JUMO_WORLD @MFS_Africa @DPOGroup @theflutterwave @Interswitch @mPharmaHealth #playbook,9,0,ACC/ LON,2020,Companies I learn from       ,ACC/ LON,"['Companies', 'I', 'learn', 'from']",Companies learn,0.0
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sStT5",3,0,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
pbasinga,"Technology can be a powerful tool to help get vaccines and medication to the most remote places in Africa.
 
@mPharmaHealth &amp; @mutti_ng are harnessing technology to ensure medicines reach those that can’t easily access them.

https://t.co/Lfqy5WLVwQ https://t.co/7FF7SChAil",6,1,"Seattle, Washington ",2020,"Technology can be a powerful tool to help get vaccines and medication to the most remote places in Africa
 
 amp  are harnessing technology to ensure medicines reach those that cant easily access them

 ","Seattle, Washington ","['Technology', 'can', 'be', 'a', 'powerful', 'tool', 'to', 'help', 'get', 'vaccines', 'and', 'medication', 'to', 'the', 'most', 'remote', 'places', 'in', 'Africa', 'amp', 'are', 'harnessing', 'technology', 'to', 'ensure', 'medicines', 'reach', 'those', 'that', 'cant', 'easily', 'access', 'them']",Technology powerful tool help get vaccines medication remote places Africa amp harnessing technology ensure medicines reach cant easily access,0.2111111111111111
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sStT5",4,1,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
ResoGlob,"Did you miss it? Last month, we sat down with @Rockson2, co-founder and CEO of @mPharmaHealth, to discuss his journey as an entrepreneur. Read Rockson’s guidance for #health innovators and donors operating in emerging markets: https://t.co/gSwLgjvAjU",1,0,"Burlington, Vermont",2020,Did you miss it Last month we sat down with  cofounder and CEO of  to discuss his journey as an entrepreneur Read Rocksons guidance for  innovators and donors operating in emerging markets ,"Burlington, Vermont","['Did', 'you', 'miss', 'it', 'Last', 'month', 'we', 'sat', 'down', 'with', 'cofounder', 'and', 'CEO', 'of', 'to', 'discuss', 'his', 'journey', 'as', 'an', 'entrepreneur', 'Read', 'Rocksons', 'guidance', 'for', 'innovators', 'and', 'donors', 'operating', 'in', 'emerging', 'markets']",miss Last month sat cofounder CEO discuss journey entrepreneur Read Rocksons guidance innovators donors operating emerging markets,0.0
Cvllr,"Covid is accelerating a quiet technology revolution in #Africa - A group of tech-enabled companies that most of the world has never heard of is driving economic growth on the continent.

feat. @TwigaFoods, @mkopasolar, @mPharmaHealth, @kobo, @paystack...

https://t.co/2ZjCNZrmbj",9,4,"""""",2020,"Covid is accelerating a quiet technology revolution in   A group of techenabled companies that most of the world has never heard of is driving economic growth on the continent

feat     

","""""","['Covid', 'is', 'accelerating', 'a', 'quiet', 'technology', 'revolution', 'in', 'A', 'group', 'of', 'techenabled', 'companies', 'that', 'most', 'of', 'the', 'world', 'has', 'never', 'heard', 'of', 'is', 'driving', 'economic', 'growth', 'on', 'the', 'continent', 'feat']",Covid accelerating quiet technology revolution group techenabled companies world never heard driving economic growth continent feat,0.1
shortlistafrica,"Are you a qualified physician with experience in the #medical field? 
@mPharmaHealth is looking for a Health Services Lead to head their patient support programs. Learn more and apply for the #job here: https://t.co/xMwTP5milO

#IkoKaziKE @wapikazi @kazybott https://t.co/EQ1reArvLc",0,1,"Nairobi, Kenya",2020,"Are you a qualified physician with experience in the  field 
 is looking for a Health Services Lead to head their patient support programs Learn more and apply for the  here 

   ","Nairobi, Kenya","['Are', 'you', 'a', 'qualified', 'physician', 'with', 'experience', 'in', 'the', 'field', 'is', 'looking', 'for', 'a', 'Health', 'Services', 'Lead', 'to', 'head', 'their', 'patient', 'support', 'programs', 'Learn', 'more', 'and', 'apply', 'for', 'the', 'here']",qualified physician experience field looking Health Services Lead head patient support programs Learn apply,0.0
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sASuv",0,0,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
Amitch5903,"Great things happening in #AfricaTech!

Top 10 African Startups to Watch in 2021:
💸 @chippercashapp
😀 @SmileIdentity 
👨‍💻👩‍💻 @Andela
🖥️💰 @theflutterwave 
🏪 @Sokowatch 
💳 @SwipeTech 
🧬 @weare54gene
💊 @mPharmaHealth
🏥 @HeliumHealth 
🚚 @SendyMobile

https://t.co/Lx2n5sStT5",0,0,"Washington, DC",2020,"Great things happening in 

Top 10 African Startups to Watch in 2021
 
  
 
  
  
  
 
 
  
 

","Washington, DC","['Great', 'things', 'happening', 'in', 'Top', '10', 'African', 'Startups', 'to', 'Watch', 'in', '2021']",Great things happening Top 10 African Startups Watch 2021,0.43333333333333335
